row ID,row m/z,row retention time,NEG_004_Acetylportentol.mzXML Peak area,NEG_007_12_Desoxydiacetylpyxinol.mzXML Peak area,NEG_008_12_Desoxypyxinol.mzXML Peak area,NEG_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,NEG_011_Bourgeanic_acid.mzXML Peak area,NEG_012_Caperatic_acid.mzXML Peak area
281,683.1719055,7.467116667000001,43976698.35,47181128.21,70086845.76,50878059.17,13894237.44,0.0
283,729.1778259,7.443683332999999,37216014.67,0.0,54564811.92,49367798.44,11558229.01,30075659.76
284,743.1391907000001,7.301741667000001,23354531.89,36467344.11,28956869.25,38993672.74,6629622.542,17245892.09
285,306.948143,2.931933333,0.0,0.0,0.0,42997107.85,0.0,0.0
290,207.9308734,8.868833333,0.0,0.0,0.0,69968572.6,25718585.92,21446843.53
293,307.855835,8.561016667,48113302.14,47907694.41,52906926.85,44371209.42,47519792.72,48670498.22
301,174.955122,3.057370833,0.0,0.0,0.0,12834154.83,4255645.075,0.0
305,209.83305980000003,8.454292424,4038554.447,4751973.45,4815356.818,4468761.688,4735504.676,4585916.699
306,132.8665217,8.483165152,8291207.497,8301382.162,8058481.135,7121887.792,7924523.001,7675868.082
307,833.1890869,7.624458333,9349205.508,6684408.735,13099057.25,12630390.7,2007331.839,6650160.207
308,178.976799,8.529480556000001,24410492.07,24564643.16,29199587.04,22767191.83,23148682.27,21862319.01
309,235.9254913,0.048816667,17179532.3,0.0,16306796.72,20942040.64,15779031.88,16575092.66
310,205.8390376,0.259408333,0.0,0.0,0.0,5157895.267,0.0,156798.8667
311,190.9275894,8.938933333,0.0,0.0,0.0,11977885.96,19373088.48,0.0
312,207.8361588,0.257170833,0.0,0.0,0.0,4863123.465,0.0,0.0
316,207.9305496,0.04895,14040192.66,0.0,13302580.47,16989772.99,12853592.11,13567175.51
317,197.8071136,0.25465,0.0,0.0,0.0,3177823.959,0.0,0.0
321,190.9275188,0.048410417,12110333.52,9460212.297,0.0,14038279.49,8973606.056,8326469.846
322,195.8101501,0.25465,0.0,0.0,0.0,2570309.507,0.0,0.0
324,146.937645,8.943347222,0.0,0.0,0.0,7669354.795,8582639.383,0.0
325,173.9250763,8.436376667000001,3757453.054,3611951.727,3701425.692,3821683.159,3531324.344,3904351.83
326,316.7378387,0.268366667,0.0,0.0,0.0,3134658.087,0.0,0.0
330,167.03417969999998,1.53825,0.0,0.0,0.0,6593666.176,0.0,0.0
331,144.9226387,3.576295,0.0,0.0,0.0,8971855.843,0.0,0.0
335,195.0654736,3.123175,0.0,0.0,0.0,4678069.552,0.0,0.0
336,453.7864075,8.5476125,9936328.0,9545716.504,10158872.92,8911183.372000001,0.0,0.0
337,180.04161069999998,2.6804,0.0,0.0,0.0,3685169.792,0.0,0.0
339,242.9434204,0.133478431,0.0,0.0,0.0,2561742.827,0.0,4175129.495
342,567.0878601,7.628308333,0.0,0.0,0.0,3650966.709,0.0,0.0
343,307.8561325,8.961133333,0.0,0.0,0.0,3422053.066,0.0,0.0
345,166.0258789,2.216483333,0.0,0.0,0.0,2842258.777,0.0,0.0
346,173.925478,3.084375,0.0,0.0,0.0,3949704.183,0.0,0.0
347,209.83316230000003,0.258365278,0.0,0.0,0.0,1536610.261,0.0,0.0
348,239.9029358,3.0259400000000003,0.0,0.0,0.0,3576951.21,0.0,0.0
349,391.1394043,2.670583333,0.0,0.0,0.0,1806780.402,0.0,0.0
350,167.0339839,2.954027778,0.0,0.0,0.0,2942215.6360000004,0.0,0.0
351,219.0659714,2.531,0.0,0.0,0.0,2522445.115,0.0,0.0
352,310.9308502,0.227196667,0.0,0.0,0.0,1536135.105,0.0,2089605.123
353,178.97661589999998,8.95505,0.0,0.0,0.0,3442325.219,0.0,0.0
354,375.8432973,8.594788889,0.0,0.0,0.0,5882149.146000001,0.0,6311545.957
355,255.8220238,0.267033333,0.0,0.0,0.0,1624697.769,0.0,0.0
356,385.9939575,3.1109,0.0,0.0,0.0,1734774.717,0.0,0.0
358,318.7377879,0.274625,0.0,0.0,0.0,1350124.936,0.0,0.0
360,383.1894302,6.782004167,2662829.458,2797570.019,2968086.845,2897795.711,35286881.17,4081650.913
