Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,004_Acetylportentol
204,178.9768,511.769,483600.0,1,204.0,0,neg_adduct,adduct,0,[M-H]-,NEG,308.0,107,,,,,,,,,,,,,,,,,,,,,24410492.07
205,235.9255,2.929,163000.0,-1,205.0,0,neg_precursor,precursor,0,,NEG,309.0,30,,,,,,,,,,,,,,,,,,,,,17179532.3
209,207.9305,2.937,274900.0,-1,209.0,0,neg_cossingleton,cossingleton,0,,NEG,316.0,30,,,,,,,,,,,,,,,,,,,,,14040192.66
211,190.9275,2.905,922500.0,1,211.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,321.0,30,,,,,,,,,,,,,,,,,,,,,12110333.52
214,173.9251,506.183,726200.0,1,214.0,0,neg_precursor,precursor,0,,NEG,325.0,1,,,,,,,,,,,,,,,,,,,,,3757453.054
239,315.182,187.521,154200.0,-1,239.0,0,neg_adduct,adduct,0,[4M+Cl]-,NEG,362.0,19,,,,,,,,,,,,,,,,,,,,,310709.7032
243,445.0847,400.745,141500.0,-1,243.0,0,neg_fragment,fragment,0,,NEG,368.0,70,,,,,,,,,,,,,,,,,,,,,960334.1574
254,667.1412,464.678,199900.0,-1,254.0,0,neg_cossingleton,cossingleton,0,,NEG,385.0,34,,,,,,,,,,,,,,,,,,,,,1028558.625
271,239.0591,182.976,135400.0,-1,271.0,0,neg_adduct,adduct,0,[M-H]-,NEG,409.0,109,,,,,,,,,,,,,,,,,,,,,828372.7258
302,174.9549,505.719,3497000.0,1,302.0,0,neg_adduct,adduct,0,[M-H]-,NEG,444.0,15,,,,,,,,,,,,,,,,,,,,,48312328.08
303,144.9222,504.796,14486000.0,-1,303.0,0,neg_adduct,adduct,0,[M-H]-,NEG,446.0,1,,,,,,,,,,,,,,,,,,,,,49275049.3
306,355.1582,375.196,3258000.0,-1,306.0,0,neg_adduct,adduct,0,[M-H]-,NEG,451.0,28,,,,,,,,,,,,,,,,,,,,,3460828.31
307,312.8363,504.764,1214100.0,-1,307.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,453.0,1,,,,,,,,,,,,,,,,,,,,,12129917.69
308,207.836,507.54,2231000.0,1,308.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,454.0,76,,,,,,,,,,,,,,,,,,,,,12575546.75
310,134.8933,504.867,241700.0,-1,310.0,0,neg_cossingleton,cossingleton,0,,NEG,460.0,1,,,,,,,,,,,,,,,,,,,,,8787823.45
311,200.8582,504.247,847400.0,-1,311.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,461.0,1,,,,,,,,,,,,,,,,,,,,,10849985.88
312,215.868,508.502,1261300.0,-1,312.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,462.0,62,,,,,,,,,,,,,,,,,,,,,9051693.748
315,146.9374,513.842,1408800.0,1,315.0,0,neg_fragment,fragment,0,,NEG,467.0,18,,,,,,,,,,,,,,,,,,,,,53877961.76
318,743.1394,457.448,3598000.0,-1,318.0,0,neg_adduct,adduct,0,[M-H]-,NEG,472.0,50,,,,,,,,,,,,,,,,,,,,,60456725.89
321,225.8968,508.606,461100.0,-1,321.0,0,neg_singleton,singleton,0,,NEG,477.0,-1,,,,,,,,,,,,,,,,,,,,,15192954.91
324,336.8587,512.94,777200.0,-1,324.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,481.0,18,,,,,,,,,,,,,,,,,,,,,37473394.72
326,322.8868,505.687,618200.0,-1,326.0,0,neg_precursor,precursor,0,,NEG,484.0,15,,,,,,,,,,,,,,,,,,,,,5546418.091
328,134.8641,508.905,1819700.0,1,328.0,0,neg_singleton,singleton,0,,NEG,487.0,-1,,,,,,,,,,,,,,,,,,,,,8091613.728999999
330,242.943,505.213,741900.0,-1,330.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,493.0,15,,,,,,,,,,,,,,,,,,,,,4168086.056
338,132.9222,505.227,1356700.0,1,338.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,506.0,1,,,,,,,,,,,,,,,,,,,,,2049602.059
340,125.8718,508.098,146400.0,1,340.0,0,neg_cossingleton,cossingleton,0,,NEG,508.0,123,,,,,,,,,,,,,,,,,,,,,4266223.801
341,180.9724,511.714,632000.0,1,341.0,0,neg_adduct,adduct,0,[M-H]-,NEG,512.0,112,,,,,,,,,,,,,,,,,,,,,18181399.9
343,228.8533,504.002,300400.0,-1,343.0,0,neg_cossingleton,cossingleton,0,,NEG,515.0,123,,,,,,,,,,,,,,,,,,,,,2772223.339
359,965.1953,450.416,930700.0,-1,359.0,0,neg_cossingleton,cossingleton,0,,NEG,541.0,34,,,,,,,,,,,,,,,,,,,,,741331.3082
362,320.8862,511.09,296000.0,-1,362.0,0,neg_adduct,adduct,0,[M-2H+K]-,NEG,545.0,15,,,,,,,,,,,,,,,,,,,,,10672961.85
363,182.9878,503.862,681000.0,1,363.0,0,neg_cossingleton,cossingleton,0,,NEG,548.0,123,,,,,,,,,,,,,,,,,,,,,9660774.42
