row ID,row m/z,row retention time,POS_004_Acetylportentol.mzXML Peak area,POS_007_12_Desoxydiacetylpyxinol.mzXML Peak area,POS_008_12_Desoxypyxinol.mzXML Peak area,POS_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,POS_011_Bourgeanic_acid.mzXML Peak area,POS_012_Caperatic_acid.mzXML Peak area
341,175.1482824,2.9792333330000003,0.0,283087.1817,273115.0714,357403.9308,250170.8389,0.0
342,355.2250751,4.601211905,112692.6777,90996.54997,91394.43626,159307.842,0.0,0.0
343,382.3165417,3.971458333,111689.1666,66558.2067,67700.42395,209809.7249,0.0,0.0
344,263.0562202,3.055856481,0.0,69642.47461,38057.74072,0.0,0.0,0.0
345,323.1822978,2.638842222,0.0,62230.25792999999,83272.19311000001,0.0,0.0,0.0
347,223.0638474,4.0902907410000005,78741.71676,65617.2683,48185.04689,56276.630970000006,0.0,0.0
348,332.14957810000004,3.939995833,56879.38945,48156.18501,0.0,403148.916,0.0,0.0
349,273.91692810000006,6.1950266670000005,0.0,119980.4944,0.0,0.0,0.0,0.0
351,243.0842812,3.299688333,0.0,116743.5351,0.0,0.0,0.0,0.0
352,315.12275510000006,3.921924306,84944.36321,52063.75316,38021.66213,314732.1914,0.0,0.0
353,425.302196,4.635188095,0.0,29709.90642,0.0,0.0,0.0,0.0
354,205.1435905,5.001415,0.0,45741.53403,0.0,0.0,151836.3871,0.0
355,263.2006353,4.629738889,0.0,40979.20799,0.0,0.0,0.0,0.0
356,217.10502430000005,0.6061125,0.0,61648.59775,0.0,0.0,0.0,0.0
357,197.08104,3.107345238,0.0,0.0,0.0,5966589888.0,0.0,0.0
358,211.0960999,3.67805,0.0,0.0,0.0,3029059745.0,0.0,0.0
359,179.07042119999997,3.1146958330000003,0.0,0.0,0.0,72065108.23,0.0,0.0
361,446.0656738,3.117533333,0.0,0.0,0.0,14439222.03,0.0,0.0
362,874.7874015000001,8.33692381,42151904.74,0.0,6202438.395,34425033.48,0.0,0.0
363,193.0862236,3.584358333,0.0,0.0,0.0,24826826.59,0.0,0.0
364,900.8020691,8.3379,36086054.22,0.0,5952742.512,29002637.15,0.0,0.0
365,281.0332642,3.117533333,0.0,0.0,0.0,17727225.49,0.0,0.0
366,322.0596619,3.117533333,0.0,0.0,0.0,13623042.53,0.0,0.0
367,337.0240021,3.1099333330000003,0.0,0.0,0.0,14000944.59,0.0,0.0
368,292.0265198,3.1251,0.0,0.0,0.0,12005497.85,0.0,0.0
370,852.2498224,7.588972727000001,0.0,0.0,0.0,4127669.142,0.0,0.0
371,155.07032780000003,3.132158333,0.0,0.0,0.0,11027156.98,0.0,0.0
372,158.9614487,0.359941667,0.0,0.0,0.0,14289679.95,0.0,0.0
373,335.0535278,3.117533333,0.0,0.0,0.0,10608934.16,0.0,0.0
374,182.0573502,3.117533333,0.0,0.0,0.0,7326344.86,0.0,0.0
375,848.7709689999999,8.337807407,14591228.48,0.0,0.0,12904397.55,0.0,0.0
376,144.9825638,7.213403333,0.0,0.0,7756469.129,12474614.8,0.0,0.0
377,151.075161,3.147266667,0.0,0.0,0.0,7584859.671,0.0,0.0
378,276.0539627,3.103983333,0.0,0.0,0.0,5410294.779,0.0,0.0
379,295.9972839,3.1251,0.0,0.0,0.0,7244268.107000001,0.0,0.0
382,168.0491638,3.133066667,0.0,0.0,0.0,3623910.368,0.0,0.0
384,349.06973270000003,3.663383333,0.0,0.0,0.0,4200127.777,0.0,0.0
385,183.065361,2.22225,0.0,0.0,0.0,2661281.989,0.0,0.0
386,158.9614283,2.04815,0.0,0.0,0.0,1749528.774,0.0,0.0
387,169.0860291,3.663383333,0.0,0.0,0.0,4135717.981,0.0,0.0
388,306.0420837,3.6478,0.0,0.0,0.0,2661513.016,0.0,0.0
389,146.9808044,7.213072222,0.0,0.0,0.0,5839024.175,0.0,0.0
390,223.0602163,2.6001,0.0,0.0,0.0,1923758.459,0.0,0.0
392,186.956295,0.4623583329999999,0.0,0.0,0.0,3748901.51,0.0,3566381.403
393,295.049408,3.663383333,0.0,0.0,0.0,2407923.329,0.0,0.0
394,196.072403,3.634616667,0.0,0.0,0.0,3018640.4510000004,0.0,0.0
396,239.0905228,3.4459,0.0,0.0,0.0,1436657.0869999998,0.0,0.0
397,124.0869379,8.243296875,0.0,0.0,0.0,495907.1233,0.0,488798.3076
398,176.97198490000002,0.441833333,0.0,0.0,0.0,3259961.975,0.0,0.0
399,926.2584152,7.977008333,227560.0006,0.0,0.0,338986.8752,0.0,0.0
400,447.34764400000006,3.631083333,0.0,0.0,0.0,2474168.7830000003,0.0,0.0
401,171.14922180000002,2.29852,0.0,0.0,0.0,605577.108,0.0,0.0
402,141.9586945,2.052616667,0.0,0.0,0.0,510115.6806,0.0,0.0
403,832.2414246000001,7.811183333,0.0,0.0,0.0,2599029.978,0.0,0.0
404,468.389783,5.27410303,0.0,0.0,0.0,1416789.441,0.0,0.0
405,163.03907009999998,2.055825,0.0,0.0,0.0,363356.1759,0.0,0.0
406,1146.329072,8.373592,0.0,0.0,0.0,737865.5221,0.0,1084645.076
408,1046.203735,7.978583332999999,1329570.888,0.0,1428829.7769999998,717424.2099,0.0,1213361.712
409,834.240448,7.801608333,0.0,0.0,0.0,1827424.169,0.0,0.0
410,236.9069374,0.230098333,0.0,0.0,0.0,545776.6766,0.0,0.0
411,880.2721693,7.595727778,0.0,0.0,0.0,307677.0791,0.0,0.0
412,1012.306786,7.8111375,0.0,0.0,0.0,463841.1635,271963.7801,0.0
413,209.0444794,3.02566,0.0,0.0,0.0,482435.43,0.0,0.0
414,940.2286421,7.258852381,0.0,0.0,540020.1147,380427.0104,0.0,0.0
415,175.05778759999998,0.2468638889999999,0.0,0.0,0.0,147865.7646,0.0,0.0
416,263.1256585,2.414039744,1361855.36,0.0,0.0,311440.8098,0.0,0.0
417,376.1757202,3.981666667,0.0,0.0,0.0,456114.0094,0.0,0.0
418,294.2040558,3.274841667,0.0,0.0,0.0,204697.7954,0.0,0.0
419,277.0696487,2.714316667,0.0,0.0,0.0,271008.9541,0.0,0.0
420,381.1312154,3.974716667,0.0,0.0,0.0,273938.6322,0.0,0.0
421,207.1591434,1.887579167,0.0,0.0,0.0,105795.9427,0.0,0.0
422,878.8108276,8.361833333,0.0,0.0,0.0,641641.5299,0.0,0.0
424,441.7881114,1.300222222,0.0,0.0,0.0,616349.2513,0.0,0.0
426,310.2589671,4.012488889,0.0,0.0,0.0,219811.4407,0.0,0.0
427,300.2000809,1.104266667,87722.93382,0.0,51965.26935,188531.8309,0.0,0.0
428,712.2344666,8.332533332999999,0.0,0.0,346642.3379,156113.5503,0.0,0.0
430,294.8612518,1.306925,0.0,0.0,0.0,305658.6694,0.0,0.0
431,350.2066142,1.3517,0.0,0.0,0.0,114231.9862,0.0,0.0
433,211.0956366,2.4983,0.0,0.0,0.0,72278.24842,0.0,0.0
434,517.9030151000001,4.3338,0.0,0.0,0.0,386817.1872,0.0,0.0
435,209.0808269,2.191630952,0.0,0.0,0.0,104148.9089,0.0,0.0
436,242.2119083,3.389358333,0.0,0.0,0.0,249570.9875,0.0,0.0
